Date,SNP 500,Aggregated_G2G_Mean,Aggregated_ETHICAL_Mean,Aggregated_FOE_Mean
2004-03-31,-0.09993514989139883,0.06790800550543613,0.4087389689830943,1.4470930943408966
2004-04-30,-0.09264774457597358,0.07604562456726033,0.44548500080939335,1.5257582779529788
2004-05-31,-0.11690918380161786,0.07337343493825937,0.3734178200913633,1.4205722041770992
2004-06-30,-0.09290513042515723,0.1165747888593727,0.4125089070785232,1.5575807615773736
2004-07-31,-0.11445465288805445,0.12305595535651212,0.39731536109312415,1.5562668668285433
2004-08-31,-0.12799725905072934,0.1318490230937644,0.3538390781828567,1.5746992736259071
2004-09-30,-0.10499774546737917,0.167069758091347,0.4091301564286228,1.7339219647792004
2004-10-31,-0.10466790671656878,0.14228967233983106,0.4239818060689382,1.9091700328979533
2004-11-30,-0.06393235783286544,0.19414738168734724,0.5027931303364419,2.1380209574865794
2004-12-31,-0.0396910580510288,0.2311945357579444,0.552753726873706,2.31699479369338
2005-01-31,-0.053946270524525615,0.23166192195896826,0.5277656024206282,2.212136156521644
2005-02-28,-0.03935689120436658,0.2593417343857329,0.580067080826464,2.2677247627963437
2005-03-31,-0.04314389657674078,0.25844850371922484,0.5941828849960458,2.3612410952854304
2005-04-30,-0.06754390572708258,0.2182679254661822,0.5190564474341524,2.180403132705167
2005-05-31,-0.056454552739958815,0.2291936041894568,0.5151867580491462,2.2326711515232667
2005-06-30,-0.0372537702002016,0.2374829325697391,0.5558689532231054,2.3083230101098398
2005-07-31,-0.021251019129616574,0.24410367948721276,0.6280854803300371,2.3294438173696563
2005-08-31,-0.01962302431802776,0.2516368562679956,0.6351528357300321,2.3760924006615425
2005-09-30,-0.01830591457656483,0.2371608204962393,0.6473951057198188,2.4301348543071315
2005-10-31,-0.04549295239563223,0.2064100979179394,0.6225648224007604,2.4537970457557883
2005-11-30,-0.009133889265266816,0.26130420526763337,0.71302478569156,2.656831531531017
2005-12-31,0.010648178061070324,0.2793966051847453,0.7566940795623958,2.7523449745650828
2006-01-31,0.023981716967736988,0.3188890822579855,0.8101216854593691,2.7244709339270634
2006-02-28,0.022318309646549798,0.3761077795971296,0.8576838185823591,2.7974994945805043
2006-03-31,0.03600332533297168,0.4461522263501645,0.9221473869628116,2.9528090465030687
2006-04-30,0.04275433634603498,0.4907397532665697,0.9914514344980448,3.1222046869418287
2006-05-31,0.03302348375563402,0.4899345064688873,0.9352671728917747,3.0642469669229198
2006-06-30,0.0035182040238035395,0.4473642426720072,0.8516511243427354,2.8839761253365213
2006-07-31,0.009176809515536231,0.5005354970107105,0.8476364361659361,2.7983202552243456
2006-08-31,0.03072998803731664,0.5254776016290483,0.8691506027631386,2.8892566438405223
2006-09-30,0.05522875681647044,0.5267347432823725,0.922114370300492,3.1143469984874312
2006-10-31,0.09177197881227216,0.5814426851415232,0.9857049278058856,3.340648481986583
2006-11-30,0.11199779651649823,0.6084082626870442,1.0240755056905686,3.4358799502505506
2006-12-31,0.1342478089002641,0.636166757281026,1.0575944601053224,3.5400804014373684
2007-01-31,0.1404466682982688,0.6469760377992032,1.0673801459470584,3.633537456025503
2007-02-28,0.15696987420183528,0.7120749382440318,1.1594675194916926,3.845166889573965
2007-03-31,0.12666582794768955,0.6889216545384743,1.1124878012505737,3.730433286129773
2007-04-30,0.1720612705844633,0.7558384545806209,1.1905031185853283,3.759420434686278
2007-05-31,0.21009560039972475,0.7621375246610081,1.3256603458564715,3.678248771220512
2007-06-30,0.2127803971207889,0.7186147326481651,1.331449108054948,3.6473434415482537
2007-07-31,0.21775746692337686,0.6646944646580057,1.3721222998895388,3.801856382072239
2007-08-31,0.16483535273633446,0.5961636399813933,1.1993604824292383,3.634904525833138
2007-09-30,0.19886820598048185,0.6648232586367072,1.270013790073959,3.6570285637208286
2007-10-31,0.23293549099242994,0.6729283045324306,1.3546715067743933,3.8943466847563712
2007-11-30,0.1718568570462664,0.5610445934391635,1.1800047575221508,3.361765730228785
2007-12-31,0.18453989876692975,0.6053282753942058,1.2286881253449229,3.4335310827763386
2008-01-31,0.10409328968338484,0.4994734238355342,1.0206166506223595,2.9912616951116853
2008-02-29,0.08496149983364143,0.5728303318057019,1.0439580537170288,3.08515223277799
2008-03-31,0.054588114202609006,0.5548425917521385,0.9916087540913124,2.928965734243408
2008-04-30,0.09745100959855636,0.5851046660156497,1.1382994106282718,3.1216543242238872
2008-05-31,0.12367553316384795,0.6316051706524753,1.2931875746671708,3.290537385924229
2008-06-30,0.07405357189130135,0.5847919890274497,1.2760579007319384,3.3246138438448964
2008-07-31,0.006848017129006179,0.4429250726879549,1.0729743312454123,2.9176421586207786
2008-08-31,0.026183769884145613,0.4076478528109454,1.0114084192067971,3.1663727986452392
2008-09-30,-0.025426426552211168,0.3600105924617688,0.8276959413474326,2.865894581092832
2008-10-31,-0.22419885128704356,0.15696859499814386,0.3098432752608353,1.932203212474923
2008-11-30,-0.2928744453406193,0.10833045091694334,0.16280098309140326,1.5758859619403718
2008-12-31,-0.29726171365483056,0.16262769157110893,0.22067942907347804,1.5045570468193177
2009-01-31,-0.3068601758024634,0.12746356643445847,0.2543803014543055,1.5739641493077192
2009-02-28,-0.3551860507387766,0.03619214516427245,0.14677697783628696,1.4808609263960644
