Date,^GSPC,ABT,CC,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
2014-06-10,1950.7900390625,40.529998779296875,,4.539999961853027,80.1500015258789,106.93193054199219,23.954999923706055,50.689998626708984,88.38999938964844,27.790000915527344,74.73999786376953,52.59000015258789
2014-06-11,1943.8900146484375,40.0,,4.420000076293945,80.05999755859375,106.51007080078125,24.0049991607666,50.790000915527344,88.44000244140625,27.600000381469727,74.66999816894531,52.2400016784668
2014-06-12,1930.1099853515625,39.810001373291016,,4.349999904632568,79.76000213623047,105.58964538574219,23.6200008392334,50.29999923706055,88.23999786376953,27.15999984741211,72.47000122070312,51.709999084472656
2014-06-13,1936.1600341796875,39.790000915527344,,4.28000020980835,79.63999938964844,106.09779357910156,23.575000762939453,50.84000015258789,88.44999694824219,27.469999313354492,73.05999755859375,51.900001525878906
2014-06-16,1937.780029296875,39.900001525878906,,4.090000152587891,79.69000244140625,106.36624908447266,23.540000915527344,50.38999938964844,89.02999877929688,27.350000381469727,73.29000091552734,51.09000015258789
2014-06-17,1941.989990234375,39.86000061035156,,4.190000057220459,79.58000183105469,106.5196533203125,23.44499969482422,51.18000030517578,88.73999786376953,27.75,73.0999984741211,51.65999984741211
2014-06-18,1956.97998046875,40.369998931884766,,4.099999904632568,79.79000091552734,107.39213562011719,23.635000228881836,51.959999084472656,89.87999725341797,27.860000610351562,76.08000183105469,52.040000915527344
2014-06-19,1959.47998046875,41.0,,4.070000171661377,80.23999786376953,108.44678497314453,24.829999923706055,51.68000030517578,91.33999633789062,27.75,75.38999938964844,52.02000045776367
2014-06-20,1962.8699951171875,40.849998474121094,,4.039999961853027,79.93000030517578,108.01534271240234,24.920000076293945,50.52000045776367,91.13999938964844,27.579999923706055,74.54000091552734,52.88999938964844
2014-06-23,1962.6099853515625,40.72999954223633,,3.9200000762939453,79.5199966430664,107.29625701904297,24.700000762939453,50.15999984741211,90.43000030517578,27.290000915527344,73.7300033569336,52.97999954223633
2014-06-24,1949.97998046875,40.45000076293945,,3.759999990463257,79.01000213623047,106.98945617675781,24.584999084472656,49.88999938964844,89.37000274658203,27.200000762939453,72.4800033569336,52.4900016784668
2014-06-25,1959.530029296875,40.70000076293945,,3.9200000762939453,79.31999969482422,106.80728912353516,24.610000610351562,50.310001373291016,88.88999938964844,27.760000228881836,74.19000244140625,52.599998474121094
2014-06-26,1957.219970703125,40.619998931884766,,3.9800000190734863,78.62000274658203,106.27996063232422,24.69499969482422,49.849998474121094,86.48999786376953,27.670000076293945,74.2300033569336,52.369998931884766
2014-06-27,1960.9599609375,40.540000915527344,,3.9700000286102295,79.0199966430664,106.77852630615234,24.959999084472656,49.09000015258789,84.8499984741211,27.969999313354492,74.0999984741211,52.900001525878906
2014-06-30,1960.22998046875,40.900001525878906,,3.9100000858306885,78.58999633789062,106.63470458984375,24.71500015258789,49.25,84.30999755859375,27.6200008392334,74.12999725341797,52.560001373291016
2014-07-01,1973.3199462890625,41.18000030517578,,3.9200000762939453,79.27999877929688,106.9223403930664,24.764999389648438,49.150001525878906,84.20999908447266,27.6200008392334,73.77999877929688,52.720001220703125
2014-07-02,1974.6199951171875,41.790000915527344,,4.0,79.55999755859375,106.84563446044922,24.71500015258789,49.65999984741211,84.86000061035156,27.799999237060547,73.04000091552734,52.65999984741211
2014-07-03,1985.43994140625,41.88999938964844,,4.010000228881836,79.9800033569336,107.26749420166016,24.829999923706055,50.529998779296875,85.69000244140625,27.93000030517578,73.9800033569336,53.0
2014-07-07,1977.6500244140625,41.5099983215332,,4.03000020980835,80.19000244140625,107.51677703857422,24.735000610351562,49.68000030517578,86.08000183105469,27.450000762939453,73.58000183105469,52.5
2014-07-08,1963.7099609375,41.04999923706055,,3.9100000858306885,80.55999755859375,107.85234832763672,24.485000610351562,49.84000015258789,86.29000091552734,27.1299991607666,71.12000274658203,52.25
2014-07-09,1972.8299560546875,41.27000045776367,,4.03000020980835,81.66999816894531,108.39884948730469,24.645000457763672,50.20000076293945,86.02999877929688,27.15999984741211,71.94999694824219,52.189998626708984
2014-07-10,1964.6800537109375,41.2400016784668,,4.019999980926514,81.61000061035156,108.1591567993164,24.485000610351562,49.68000030517578,84.9000015258789,27.469999313354492,71.52999877929688,51.810001373291016
