Date,^GSPC,MMM,ADBE,AMZN,ADSK,SAM,KMX,CMG,CB,CTSH,CL,COST,DIS,FDX,JWN,QCOM,SLB,LUV,SBUX,TROW,UPS
1999-03-08,1282.72998046875,38.4375,6.0078125,61.09375,10.28125,8.1875,2.15625,,30.625,0.75390625,23.015625,45.125,35.945594787597656,47.59375,20.0,4.859375,27.875,13.86111068725586,3.8046875,16.78125,
1999-03-09,1279.8399658203125,38.90625,5.9375,64.96875,10.0625,8.125,2.09375,,30.25,0.7682291865348816,23.140625,45.25,34.21921920776367,46.75,19.4375,4.984375,27.65625,14.083333015441895,3.73828125,16.84375,
1999-03-10,1286.8399658203125,40.25,6.0,68.5625,10.484375,8.0625,2.03125,,32.0,0.8489583134651184,23.125,45.3125,34.03424835205078,47.125,19.15625,4.9765625,29.25,13.722222328186035,3.8359375,16.90625,
1999-03-11,1297.6800537109375,40.0625,6.03125,67.4375,10.296875,7.9375,2.0,,32.25,0.8229166865348816,23.375,45.25,34.21921920776367,47.375,18.8125,5.0234375,28.5,13.55555534362793,3.828125,18.0625,
1999-03-12,1294.5899658203125,40.1875,5.9609375,66.65625,10.328125,7.9375,2.03125,,31.5625,0.7864583134651184,23.125,44.28125,35.57565689086914,45.84375,18.9375,4.828125,28.21875,13.86111068725586,3.75390625,17.8125,
1999-03-15,1307.260009765625,39.84375,6.03125,69.46875,10.40625,8.125,2.125,,32.0,0.7864583134651184,22.890625,45.5625,35.39068603515625,47.09375,20.0,5.12890625,28.4375,15.166666984558105,3.79296875,18.5625,
1999-03-16,1306.3800048828125,39.28125,6.2734375,66.90625,10.296875,8.3125,2.125,,31.75,0.7864583134651184,22.46875,44.8125,34.58915710449219,47.375,19.28125,5.0546875,27.9375,14.75,3.796875,19.171875,
1999-03-17,1297.8199462890625,38.1875,6.140625,65.5,10.3125,9.4375,2.09375,,32.25,0.7708333134651184,22.296875,45.28125,34.03424835205078,46.46875,18.96875,5.0078125,29.875,14.38888931274414,3.7890625,18.6875,
1999-03-18,1316.550048828125,36.8125,6.21875,69.21875,10.1875,9.1875,2.0625,,32.5625,0.7213541865348816,22.3125,45.59375,34.9590950012207,49.0625,19.84375,5.12890625,29.5625,14.86111068725586,3.78515625,19.1875,
1999-03-19,1299.2900390625,35.75,6.75,67.53125,10.328125,8.5625,2.0,,31.75,0.6197916865348816,22.15625,43.96875,34.58915710449219,48.0,19.25,5.28515625,28.53125,14.44444465637207,3.50390625,18.375,
1999-03-22,1297.010009765625,36.21875,6.5390625,66.0,10.09375,8.4375,2.03125,,31.75,0.5885416865348816,22.765625,44.5,33.91093826293945,48.09375,19.15625,5.4765625,29.40625,13.916666984558105,3.7109375,18.0,
1999-03-23,1262.1400146484375,35.8125,6.3359375,59.6875,9.90625,8.125,1.90625,,31.5,0.5286458134651184,22.34375,44.21875,32.73946762084961,46.78125,19.1875,5.1328125,28.4375,13.63888931274414,3.578125,16.96875,
1999-03-24,1268.5899658203125,35.6875,6.75,61.84375,10.1875,8.1875,1.96875,,31.4375,0.5859375,22.5,44.0,32.73946762084961,46.78125,19.09375,5.4609375,28.0,14.416666984558105,3.6328125,16.75,
